name,type,address,lng,lat,province,city,district,
汊河工业园,商务住宅;产业园区;产业园区,汊河镇高新路附近,118.594178,32.215544,安徽省,滁州市,来安县,
安徽来安汊河经济开发区,商务住宅;产业园区;产业园区,汊河镇(南京北),118.598354,32.215039,安徽省,滁州市,来安县,
盘城街道创业园,商务住宅;产业园区;产业园区,盘城后街与盘城新街交叉口南100米,118.714254,32.215406,江苏省,南京市,浦口区,
芳庭潘园,商务住宅;住宅区;住宅小区,芳庭路68,118.728905,32.219022,江苏省,南京市,六合区,
晓山北村(芳庭路),商务住宅;住宅区;住宅小区,晓山北村52,118.732068,32.214227,江苏省,南京市,六合区,
仁锦苑,商务住宅;住宅区;住宅小区,葛中南路西50米,118.72521,32.221016,江苏省,南京市,六合区,
芳庭潘园(东门),商务住宅;商务住宅相关;商务住宅相关,六合大道西50米,118.731414,32.218558,江苏省,南京市,六合区,
晓山路59号住宅,商务住宅;住宅区;住宅区,六合晓山路59号,118.741,32.219355,江苏省,南京市,六合区,
海棠花园,商务住宅;住宅区;住宅小区,新华西路68-1号,118.741196,32.216761,江苏省,南京市,六合区,
瑞凯国际,商务住宅;楼宇;商住两用楼宇,晓山路101号,118.73897,32.219844,江苏省,南京市,六合区,
腾泰雅苑,商务住宅;住宅区;住宅小区,草芳路118号,118.739166,32.217481,江苏省,南京市,六合区,
草芳新苑,商务住宅;住宅区;住宅小区,草芳路69号,118.735513,32.217971,江苏省,南京市,六合区,
晓山北村(晓山路),商务住宅;住宅区;住宅小区,晓山路151号,118.734486,32.220522,江苏省,南京市,六合区,
晓山一村,商务住宅;住宅区;住宅小区,新华西路76-3号,118.738083,32.215432,江苏省,南京市,六合区,
新广厦小区,商务住宅;住宅区;住宅小区,晓山一村,118.740765,32.218331,江苏省,南京市,六合区,
开阳苑,商务住宅;住宅区;住宅小区,晓山路70号附近,118.736981,32.221923,江苏省,南京市,六合区,
圣得山庄,商务住宅;住宅区;住宅小区,杨新路195号,118.739822,32.215058,江苏省,南京市,六合区,
荣盛水景城小区,商务住宅;住宅区;住宅小区,芳草路213号,118.739528,32.223667,江苏省,南京市,六合区,
草芳晓山,商务住宅;住宅区;住宅区,六合草芳晓山,118.739193,32.220075,江苏省,南京市,六合区,
开阳苑(西南门),商务住宅;商务住宅相关;商务住宅相关,晓山路70号附近,118.736899,32.221728,江苏省,南京市,六合区,
摇光苑,商务住宅;商务住宅相关;商务住宅相关,晓山路104号,118.738722,32.221135,江苏省,南京市,六合区,
海棠花园休闲广场,商务住宅;商务住宅相关;商务住宅相关,新华西路与芳庭路交叉口西北200米,118.74008,32.21561,江苏省,南京市,六合区,
天权苑,商务住宅;商务住宅相关;商务住宅相关,晓山路102号,118.738999,32.220746,江苏省,南京市,六合区,
玉衡苑,商务住宅;商务住宅相关;商务住宅相关,草芳路213号,118.741502,32.222371,江苏省,南京市,六合区,
阿尔卡迪亚(西门),商务住宅;商务住宅相关;商务住宅相关,晓山路102,118.73586,32.221226,江苏省,南京市,六合区,
阿尔卡迪亚三期新天地B座,商务住宅;商务住宅相关;商务住宅相关,晓山路166号附近,118.73529,32.22149,江苏省,南京市,六合区,
邮电大楼,商务住宅;住宅区;住宅小区,健民路189号,118.748091,32.221767,江苏省,南京市,六合区,
烟草大厦,商务住宅;楼宇;商务写字楼,健民路200号,118.74677,32.223179,江苏省,南京市,六合区,
三丰公寓,商务住宅;住宅区;住宅小区,新华路129号,118.747547,32.223718,江苏省,南京市,六合区,
永利晶华城,商务住宅;住宅区;住宅区,健民路与新华路交叉口南50米,118.74693,32.222198,江苏省,南京市,六合区,
化建大厦,商务住宅;楼宇;商务写字楼,新华路162号附近,118.748379,32.223158,江苏省,南京市,六合区,
永利公寓,商务住宅;住宅区;住宅小区,健民路189号,118.748124,32.221581,江苏省,南京市,六合区,
新华西路小区,商务住宅;住宅区;住宅小区,新华西路,118.74807,32.21999,江苏省,南京市,六合区,
新华六村小区,商务住宅;住宅区;住宅小区,新华路,118.74403,32.222407,江苏省,南京市,六合区,
山潘村,商务住宅;住宅区;住宅区,葛关路山潘村,118.74478,32.22129,江苏省,南京市,六合区,
都市1819,商务住宅;住宅区;住宅区,健民路211号,118.748298,32.221421,江苏省,南京市,六合区,
新红旗村,商务住宅;楼宇;商住两用楼宇|商务住宅;住宅区;住宅区,健民路4号附近,118.744981,32.224024,江苏省,南京市,六合区,
大厂文化创新产业园,商务住宅;产业园区;产业园区,太子山路56-1号,118.745961,32.218723,江苏省,南京市,六合区,
潼恩国际,商务住宅;商务住宅相关;商务住宅相关,大厂街道新华路218号,118.74988,32.22398,江苏省,南京市,六合区,
新华四村(南门),商务住宅;商务住宅相关;商务住宅相关,健民路与旭东路交叉口东北100米,118.751233,32.22064,江苏省,南京市,六合区,
南京证券大厦,商务住宅;楼宇;商务写字楼,新华路139号,118.748131,32.223659,江苏省,南京市,六合区,
电影院宿舍楼,商务住宅;住宅区;宿舍,西厂门街附近,118.760902,32.216547,江苏省,南京市,六合区,
周洼新村25号楼,商务住宅;商务住宅相关;商务住宅相关,旭东路389号附近,118.757197,32.223232,江苏省,南京市,六合区,
周洼新村,商务住宅;住宅区;住宅小区,沿江工业开发区西厂门街道旭东路上,118.757251,32.22401,江苏省,南京市,六合区,
新华四村,商务住宅;住宅区;住宅小区,沿江工业开发区新华路,118.754894,32.221168,江苏省,南京市,六合区,
凤西路社区,商务住宅;住宅区;住宅小区,凤凰北路与凤凰南路交叉口西南100米,118.761099,32.215977,江苏省,南京市,六合区,
太子山小区,商务住宅;住宅区;住宅小区,太子山路南50米,118.756126,32.214858,江苏省,南京市,六合区,
小门,商务住宅;住宅区;住宅区,凤凰东路与毕洼路交叉口北150米,118.763337,32.220041,江苏省,南京市,六合区,
山潘都市创业园(毕洼路),商务住宅;产业园区;产业园区,毕洼路166号,118.759954,32.223323,江苏省,南京市,六合区,
周洼新村23号楼,商务住宅;商务住宅相关;商务住宅相关,旭东路北150米附近,118.757269,32.224161,江苏省,南京市,六合区,
南京沿江科创中心6号楼,商务住宅;楼宇;商务写字楼,沿江工业开发区葛关路108号,118.767312,32.224191,江苏省,南京市,六合区,
东盛大厦,商务住宅;住宅区;住宅区,葛关路42号,118.768779,32.222711,江苏省,南京市,六合区,
永元公寓,商务住宅;住宅区;住宅小区,凤凰东路,118.765014,32.222773,江苏省,南京市,六合区,
医院公寓,商务住宅;住宅区;宿舍|商务住宅;住宅区;住宅小区,玉带镇,118.908486,32.222492,江苏省,南京市,六合区,
润玉水苑2期,商务住宅;住宅区;住宅区,润玉路88,118.91206,32.223861,江苏省,南京市,六合区,
润玉水苑1期,商务住宅;住宅区;住宅区,润玉路79,118.91443,32.224121,江苏省,南京市,六合区,
玫瑰十一英里,商务住宅;住宅区;别墅,104国道,118.594337,32.210743,安徽省,滁州市,来安县,
鹭港,商务住宅;住宅区;别墅,宁北大道6,118.60212,32.204914,安徽省,滁州市,来安县,
蒙塔卡利,商务住宅;住宅区;别墅,汊河经济示范区,118.594797,32.211399,安徽省,滁州市,来安县,
来安江北水岸科技新城,商务住宅;住宅区;住宅小区|公司企业;公司;公司,104国道100号,118.597319,32.20898,安徽省,滁州市,来安县,
香榭苑,商务住宅;住宅区;住宅小区,汊河镇新区,118.596173,32.207635,安徽省,滁州市,来安县,
八闽·名郡,商务住宅;住宅区;住宅小区,金太阳装饰城对面,118.596291,32.209913,安徽省,滁州市,来安县,
康达花园,商务住宅;商务住宅相关;商务住宅相关,019乡道北100米,118.597202,32.207507,安徽省,滁州市,来安县,
盘城新居,商务住宅;住宅区;住宅区,盘城后街38号,118.707928,32.208282,江苏省,南京市,浦口区,
南京信息工程大学教师公寓,商务住宅;住宅区;住宅小区,盘城后街南200米,118.712749,32.204995,江苏省,南京市,浦口区,
南京信息工程大学文园16幢,商务住宅;住宅区;宿舍,,118.707818,32.205176,江苏省,南京市,浦口区,
南京信息工程大学文园13幢,商务住宅;住宅区;宿舍,,118.708102,32.204897,江苏省,南京市,浦口区,
南京信息工程大学文园15幢,商务住宅;住宅区;宿舍,,118.707791,32.204947,江苏省,南京市,浦口区,
南京信息工程大学文园14幢,商务住宅;住宅区;宿舍,,118.70814,32.205231,江苏省,南京市,浦口区,
南京信息工程大学文园12幢,商务住宅;住宅区;宿舍,,118.707762,32.204491,江苏省,南京市,浦口区,
南京信息工程大学文园17幢,商务住宅;住宅区;宿舍,,118.706297,32.205301,江苏省,南京市,浦口区,
盘城新居北园,商务住宅;住宅区;住宅区,盘城后街38号,118.711698,32.208512,江苏省,南京市,浦口区,
盘锦花园,商务住宅;住宅区;住宅小区,盘城镇南京气象学院北大门对面,118.71942,32.208308,江苏省,南京市,浦口区,
盘城公寓,商务住宅;住宅区;住宅小区,盘城镇盘城中街10号(苏果超市旁),118.714071,32.211567,江苏省,南京市,浦口区,
